"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"G***";"LOGO";1;"LOGO";;;
2;"R4,R1,R66";"SM0603-R-JRL";3;"180K";;;
3;"VR1,VR6";"RV16A-41-JRL";2;"100K";;;
4;"J2,J3,J1,J4,J6,J8,J9,J10,J11";"PJ-301B-JACK-SLOTS";9;"PJ301BM";;;
5;"Q6,Q5";"SOT363-JRL";2;"MBT3946DW";;;
6;"Q4,Q3";"SOT363-JRL";2;"2N7002";;;
7;"U6";"TSSOP-14_4.4x5mm_Pitch0.65mm";1;"CD40106";;;
8;"C3,C15,C18,C32";"SM0603-C-JRL";4;"100n";;;
9;"C4,C5,C6,C7,C8,C9,C11,C12,C13,C14,C16,C17,C19,C20,C23,C24,C38,C39,C40,C1";"SM0603-C-JRL";20;"0.1µ";;;
10;"C10";"SM0603-C-JRL";1;"33n";;;
11;"C21";"SM0603-C-JRL";1;"10n";;;
12;"C22,C35,C37,C2";"SM0603-C-JRL";4;"1n";;;
13;"C33";"SM0603-C-JRL";1;"47n";;;
14;"C36";"SM0603-C-JRL";1;"0.01μ";;;
15;"C41,C42";"SM0603-C-JRL";2;"0.47μ";;;
16;"C43";"SM0603-C-JRL";1;"1μ";;;
17;"D1,D2,D5,D6,D7,D8,D11,D12,D22,D23";"SOD323-JRL";10;"1N4148";;;
18;"D3,D4";"SMB-1C2A";2;"S1BB";;;
19;"D9,D10,D13,D14,D15,D16,D17,D18,D19,D20";"3MM-LED-C1A2";10;"LED";;;
20;"D21";"SOD323-C1A2";1;"1N4148";;;
21;"J5,J7";"PJ-301B-JACK-SLOTS";2;"JACK_MONO_SW";;;
22;"P3";"Pin_Header_Straight_2x05";1;"CONN_02X05";;;
23;"Q1,Q2,Q7,Q8,Q9,Q10,Q15,Q16";"SOT23-132-JRL";8;"MMBT3904";;;
24;"Q11,Q13,Q14";"SOT23-JRL";3;"J112";;;
25;"Q12";"SOT23-132-JRL";1;"MMBT3906";;;
26;"R2";"SM0603-R-JRL";1;"820K";;;
27;"R3,R6";"SM0603-R-JRL";2;"1.5meg";;;
28;"R5,R7,R21,R22,R23,R24,R29,R52,R60,R65,R68,R69,R74,R79,R82,R85,R98,R105,R109";"SM0603-R-JRL";19;"100K";;;
29;"R8,R94";"SM0603-R-JRL";2;"120K";;;
30;"R9";"SM0603-R-JRL";1;"8.2K";;;
31;"R10,R55,R72,R76";"SM0603-R-JRL";4;"150K";;;
32;"R11";"SM0603-R-JRL";1;"2.2K";;;
33;"R12,R13,R16,R20,R26,R27,R28,R32,R33,R36,R50,R62,R86,R108";"SM0603-R-JRL";14;"10K";;;
34;"R14,R15,R45,R56";"SM0603-R-JRL";4;"330K";;;
35;"R17";"SM0603-R-JRL";1;"680K";;;
36;"R18,R31";"SM0603-R-JRL";2;"4.7K";;;
37;"R19,R37,R42,R46,R47,R64,R70,R73,R80,R83,R84,R87,R99,R110,R111,R40";"SM0603-R-JRL";16;"1K";;;
38;"R25,R30,R48,R95";"SM0603-R-JRL";4;"22K";;;
39;"R34,R59";"SM0603-R-JRL";2;"15K";;;
40;"R35,R51,R101,R103,R77";"SM0603-R-JRL";5;"33K";;;
41;"R38,R39,R53,R57,R58,R63,R75,R78,R81,R93";"SM0603-R-JRL";10;"47K";;;
42;"R43,R44,R67";"SM0603-R-JRL";3;"39K";;;
43;"R49,R71";"SM0603-R-JRL";2;"82K";;;
44;"R54";"SM0603-R-JRL";1;"56K";;;
45;"R61,R104";"SM0603-R-JRL";2;"100";;;
46;"R88";"SM0603-R-JRL";1;"20K";;;
47;"R89,R90";"SM0603-R-JRL";2;"470";;;
48;"R91,R100";"SM0603-R-JRL";2;"1meg";;;
49;"R92";"SM0603-R-JRL";1;"18K";;;
50;"R96,R97";"SM0603-R-JRL";2;"3.3K";;;
51;"R102,R106,R107";"SM0603-R-JRL";3;"330";;;
52;"SW1,SW2";"KS-01Q-02-JRL";2;"KS-01Q";;;
53;"TP3";"TEST_POINT_LOOP_4592";1;"CONN_1";;;
54;"U1";"SO16-JRL";1;"LM13700";;;
55;"U7,U8";"TSSOP-16_4.4x5mm_Pitch0.65mm";2;"CD4027";;;
56;"U12";"MSOP-8_3x3mm_Pitch0.65mm";1;"MAX9945";;;
57;"U13,U14";"SO16-JRL";2;"DG409";;;
58;"C30,C31";"SM0805-HAND";2;"10μ";;;
59;"C44";"CAP-5MM-BOX-0805-COMBO";1;"470n";;;
60;"C34,C27";"SM0805-HAND";2;"4.7μ";;;
61;"VR4";"RV16A-41-JRL";1;"1meg";;;
62;"VR8";"RV16A-41-JRL";1;"1meg LOG";;;
63;"U11,U10,U9,U5,U4,U2,U3";"TSSOP8-JRL";7;"TL072-";;;
64;"C28,C29";"c_elec_5x5.3";2;"10μF";;;
65;"TP7,TP8,TP6";"TEST_POINT_SMALL";3;"CONN_1";;;
66;"VR2,VR9";"TC33X-2";2;"10K";;;
67;"VR3,VR5,VR7";"TC33X-2";3;"100K";;;
68;"P1";"PIN_ARRAY_3X1";1;"CONN_01X03";;;
69;"REF***";"OSHW-Symbol_6.7x6mm_SilkScreen";1;"OSHW-Symbol_6.7x6mm_SilkScreen";;;
70;"U15";"SOT-23-5";1;"TS321";;;
71;"SW3";"SS-12F108-1P2T-SLIDE";1;"SPDT";;;
72;"REF**,REF**";"fiducial-1mm";2;"fiducial-1mm";;;
73;"D24";"SOT23-132-JRL";1;"LM4040-10";;;
74;"F1,F2";"C_0805";2;"PTC 0.1A";;;
